ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
 "S0011-52582025000100202-scl","Los “Lugares Escondidos” de la Violencia. Experiencias Familiares de Migrantes Bolivianas Aymara en la Triple-Frontera Andina Lugares Escondidos Violencia TripleFrontera Triple Frontera","Guizardi, Menara Lube, Stefoni, Carolina, Araya, Isabel, Magalhães, Lina, López, Eleonora","Dados; 68(1); -","Dados","Spanish","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100202&lang=en" 
"S0011-52582025000100201-scl","La Paz sin Consenso: Los Discursos de las Elites Militares y Exguerrilleras Sobre el Acuerdo con las FARC-EP en Colombia Consenso FARCEP FARC EP","Sierra, Jerónimo Ríos","Dados; 68(1); -","Dados","Spanish","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100201&lang=en" 
"S0011-52582025000100200-scl","A Dimensão Partidária-Eleitoral do Programa Minha Casa Minha Vida PartidáriaEleitoral Partidária Eleitoral","Simoni Junior, Sergio, Dias, Edney Cielici","Dados; 68(1); -","Dados","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100200&lang=en" 
"S0011-52582025000100203-scl","Três por Quatro: Impactos Políticos das Crises Econômicas Internacionais no Brasil, Estados Unidos e Alemanha Quatro Brasil","Ianoni, Marcus","Dados; 68(1); -","Dados","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100203&lang=en" 
"S0011-52582025000100204-scl","A Imigração Japonesa nas Fronteiras entre o Pensamento Social e a Política Parlamentar: A Eugenia de Pacheco e Silva e a Sociologia de Gilberto Freyre Parlamentar","Hayashi, Bruno Naomassa","Dados; 68(1); -","Dados","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100204&lang=en" 
"S0011-52582025000100206-scl","Desigualdades Educacionais no Brasil Contemporâneo: Definição, Medida e Resultados Contemporâneo Definição","Ernica, Mauricio, Rodrigues, Erica Castilho, Soares, José Francisco","Dados; 68(1); -","Dados","English, Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100206&lang=en" 
"S0011-52582025000100205-scl","Nina Rodrigues e os Índios do Brasil","Monteiro, Filipe Pinto, Henrique, Márcio Couto","Dados; 68(1); -","Dados","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100205&lang=en" 
"S0011-52582025000100209-scl","Antonio Gramsci em Refração: os Usos de Fernando Henrique Cardoso Refração","Mussi, Daniela, Herscovici, Nicole","Dados; 68(1); -","Dados","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100209&lang=en" 
"S0011-52582025000100207-scl","A Gramática Institucional da Proteção de Dados e da Privacidade no Brasil","Filgueiras, Fernando, Lui, Lizandro, Veloso, Maria Tereza Trindade","Dados; 68(1); -","Dados","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100207&lang=en" 
"S0011-52582025000100212-scl","Localismo nas Eleições Proporcionais do Brasil: Efeito Contextual de “Amigos e Vizinhos” Brasil Amigos Vizinhos","Zolnerkevic, Aleksei","Dados; 68(1); -","Dados","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100212&lang=en" 
"S0011-52582025000100700-scl","Banco de Dados de Propaganda Eleitoral (HGPE) dos candidatos a deputado federal do Estado do Rio de Janeiro – 1998-2018* HGPE (HGPE 19982018* 19982018 1998 2018* 2018 1998-2018 1998201 199 201 1998-201 199820 19 20 1998-20 19982 1 2 1998-2 1998-","Figueiredo, Argelina Cheibub, Schaefer, Bruno Marques, Meireles, Fernando, Freitas, Carlos Martins de","Dados; 68(1); -","Dados","English, Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100700&lang=en" 
"S0011-52582025000100214-scl","A Revolução como Reação: a Recepção do Fascismo entre a Direita Católica nos Anos 1930 Reação 193 19 1","Cassimiro, Paulo Henrique Paschoeto","Dados; 68(1); -","Dados","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100214&lang=en" 
"S0011-52582025000100213-scl","Índice de Sustentabilidade Financeira Municipal (ISFM): Alternativa à Frágil Caracterização Proposta na PEC do Pacto Federativo Brasileiro* ISFM (ISFM) Brasileiro (ISFM","Oliveira, Débora Tazinasso de, Oliveira, Antonio Gonçalves de","Dados; 68(1); -","Dados","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100213&lang=en" 
"S0011-52582025000100210-scl","Leveraging Influence on the UN Security Council: The Cases of Brazil, India, and South Africa Council Brazil India","Aguilar, Sérgio Luiz Cruz","Dados; 68(1); -","Dados","English","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100210&lang=en" 
"S0011-52582025000100600-scl","Além da Divisão entre Economistas Ortodoxos e Heterodoxos no Brasil: Comentário Crítico ao Artigo &quot;As Disputas entre Ortodoxos e Heterodoxos: O que é (e o que não é) Economia&quot; Brasil As Economia","Dequech, David","Dados; 68(1); -","Dados","Portuguese","2025","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000100600&lang=en" 
